39 39
29
3 3  36 36
3 4  27 15
3 5  4 18
3 6  4 23
3 7  4 11
3 8  27 19
3 9  31 27
3 10  4 29
3 11  4 0
3 15  27 0
4 3  27 27
4 4  0 0
4 5  0 10
4 6  0 4
4 8  0 31
4 9  27 30
4 12  30 15
4 15  30 0
4 16  0 15
5 3  31 36
5 4  34 32
5 5  34 8
5 6  34 26
5 8  34 0
5 10  22 0
5 11  22 28
5 13  34 13
5 18  22 10
15 39  7 0
